product_id,is_pb,cate_d1,cate_d3,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
1890812,0,가구,식탁세트,255,11,212,209,125167600,243,202,36,209,3,0.041353383458646614,0.8487394957983193,0.014354066985645933,0.08190819081908192,1.0,1.0
3365215,0,가구,식탁세트,206,24,205,200,131040000,181,25,151,200,5,0.10434782608695652,0.14204545454545456,0.025,0.23811881188118814,0.14689373248678753,0.5550405496733499
3364814,0,가구,식탁세트,192,38,191,187,115968000,153,17,133,187,4,0.16521739130434782,0.11333333333333333,0.0213903743315508,0.1851538094985969,0.11223306021589284,0.1250901103852219
2441180,0,가구,식탁세트,173,23,172,164,136100700,147,20,121,164,6,0.11734693877551021,0.14184397163120568,0.036585365853658534,0.4081139821299203,0.14665050652631698,0.463221687638786
3467237,0,가구,식탁세트,159,23,159,151,93610300,136,7,126,151,7,0.12637362637362637,0.05263157894736842,0.046357615894039736,0.5515048193561077,0.038955171776495476,0.39946193702670385
3364806,0,가구,식탁세트,153,24,153,148,87822000,129,14,112,148,4,0.13559322033898305,0.1111111111111111,0.02702702702702703,0.2678619213272679,0.10955044002254304,0.33433959778695
3364816,0,가구,식탁세트,136,25,136,133,68680000,111,10,100,133,3,0.15527950310559005,0.09090909090909091,0.022556390977443608,0.20226308345120222,0.08516298371936297,0.1952861004730796
3377168,0,가구,식탁세트,150,14,135,129,79260000,0,0,0,129,6,0.08536585365853659,,0.046511627906976744,0.5537646787934607,,0.689119170984456
3667011,0,가구,식탁세트,134,30,134,129,112976300,104,3,97,129,3,0.18292682926829268,0.03,0.023255813953488372,0.212525903753166,0.011634802965275068,0.0
2981351,0,가구,식탁세트,127,10,127,123,92830000,116,80,32,123,4,0.072992700729927,0.7142857142857143,0.032520325203252036,0.34846655397247045,0.8376902067889193,0.776516584092886
3057485,0,가구,식탁세트,118,18,118,111,83605240,101,26,74,111,7,0.1323529411764706,0.26,0.06306306306306306,0.7966283114797965,0.2892859929769801,0.3572272173117952
1964599,0,패브릭,매트/침대커버,16018,462,12492,11764,417457100,15525,15490,20,11764,642,0.028033980582524272,0.9987105093488072,0.05457327439646379,0.5502229177288782,0.99448358240574,0.753046680853541
109388,0,패브릭,매트/침대커버,15015,504,12367,11714,202622000,14501,14283,194,11714,539,0.03247631935047361,0.9865994335843061,0.046013317397985316,0.41217895591088727,0.9174896673560943,0.6807939497258932
3325168,0,패브릭,매트/침대커버,14022,540,11345,10792,510659600,13456,12335,1075,10792,505,0.037082818294190356,0.9198359433258763,0.0467939214232765,0.42476753226488295,0.4930531765496851,0.6058712238812363
1306233,0,패브릭,매트/침대커버,11250,393,8596,8284,157071400,10843,10821,9,8284,285,0.03375418706518939,0.9991689750692521,0.034403669724770644,0.22495351068885616,0.9973981930827345,0.6600099804630803
1883599,0,패브릭,매트/침대커버,9192,339,7628,7339,187147800,8845,8748,78,7339,264,0.03556814604973245,0.991162474507138,0.03597220329745197,0.25024879998247584,0.9464983526299782,0.6305067170621956
2747132,0,패브릭,매트/침대커버,7607,242,6428,5971,599853000,7331,7093,232,5971,408,0.030831953115046502,0.9683276450511945,0.0683302629375314,0.7720779108358803,0.8013301649734058,0.7075388599387048
1058716,0,패브릭,매트/침대커버,8873,259,6288,5748,283609200,8600,7702,859,5748,474,0.028361804643013577,0.8996612545263404,0.0824634655532359,1.0,0.36479633910693043,0.7477147633801149
550988,0,패브릭,매트/침대커버,5713,128,4775,4654,132805800,5582,5562,3,4654,103,0.021914055812360896,0.9994609164420485,0.02213149978513107,0.027043759638398075,0.999254156144451,0.8525846274258068
397482,0,패브릭,매트/침대커버,4896,129,4217,4015,193827200,4752,4740,2,4015,183,0.025671641791044777,0.9995782370307887,0.04557907845579078,0.40517610952195776,1.0,0.7914691061680272
455633,0,패브릭,매트/침대커버,4869,83,4171,4046,87758200,4776,4742,4,4046,102,0.016760904684975767,0.999157184997893,0.025210084033613446,0.07669120138682149,0.9973232398935791,0.9363984161339935
320047,0,패브릭,매트/침대커버,4305,138,4138,3970,116288500,4162,4066,93,3970,142,0.031060094530722483,0.9776388554941091,0.035768261964735516,0.24695989683125394,0.8605244561983417,0.7038282378481868
1895028,0,패브릭,매트/침대커버,5369,143,3738,3584,153929100,5222,5132,5,3584,140,0.025943396226415096,0.9990266692622153,0.0390625,0.30008512510521085,0.9964935103418192,0.7870491370532852
2946388,0,패브릭,매트/침대커버,4559,139,3681,3517,99274700,4409,4263,144,3517,103,0.029587058322690506,0.9673247106875426,0.029286323571225476,0.1424275427248819,0.7949541960093829,0.7277865387882465
197206,0,패브릭,매트/침대커버,3889,163,3600,3412,126786200,3714,3590,112,3412,165,0.04022704837117473,0.9697460831982712,0.04835873388042204,0.4500028121996901,0.8103476220781913,0.554731672797273
306784,0,패브릭,매트/침대커버,4225,55,3593,3385,59045300,4171,4145,15,3385,136,0.012850467289719626,0.9963942307692307,0.04017725258493353,0.3180624190680688,0.9797582714874514,1.0
1817236,0,패브릭,매트/침대커버,3695,78,3399,3286,96746900,3611,3604,3,3286,88,0.020673204346673735,0.9991682838924314,0.02678027997565429,0.10201329923245071,0.9973937990544541,0.872766543304552
1053570,0,패브릭,매트/침대커버,3193,136,2730,2560,81225200,3045,2880,161,2560,143,0.04085310904175428,0.9470568891811904,0.055859375,0.5709634918509451,0.6661052846785284,0.5445490650170338
954622,0,패브릭,매트/침대커버,3450,88,2357,2240,101609500,3355,2906,429,2240,100,0.0248728094968909,0.8713643178410795,0.044642857142857144,0.3900779379775478,0.18490381909676204,0.8044617701633996
3615416,0,패브릭,매트/침대커버,2612,158,2213,2122,212614100,2429,2040,382,2122,82,0.05703971119133574,0.8422791081750619,0.03864278982092366,0.29331657989577403,0.0,0.2812809366559478
987006,0,패브릭,매트/침대커버,2953,130,1929,1842,143359900,2808,2760,2,1842,81,0.042166720726565035,0.999275887038378,0.043973941368078175,0.3792905258807986,0.9980778660720488,0.5231837354402935
2356706,0,패브릭,매트/침대커버,2496,68,1920,1861,76367000,2426,2407,2,1861,54,0.0265210608424337,0.9991697799916978,0.029016657710908115,0.13807871904131874,0.9974033102277025,0.7776536703040406
826577,0,패브릭,매트/침대커버,2541,170,1898,1796,91387600,2357,2320,37,1796,88,0.06270748801180376,0.9843020789138736,0.04899777282850779,0.4603084093148904,0.9028846616758678,0.18909698219138804
289254,0,패브릭,매트/침대커버,1907,64,1649,1594,45054300,1844,1841,1,1594,53,0.032470826991374935,0.999457111834962,0.033249686323713924,0.20634355265023696,0.9992299690614445,0.6808832805864922
336836,0,패브릭,매트/침대커버,2219,81,1633,1565,48660400,2132,2114,13,1565,58,0.035217391304347825,0.9938881053126469,0.03706070287539936,0.2678027192607827,0.9638260443046652,0.6362115922718188
551405,0,패브릭,매트/침대커버,1631,48,1351,1320,31517200,1582,1577,4,1320,27,0.02858844550327576,0.9974699557242251,0.020454545454545454,0.0,0.9865969931181419,0.7440285471785932
1056568,0,패브릭,패드/스프레드,24883,662,19398,17808,753648600,24158,22742,1338,17808,1407,0.025915051869250343,0.9444352159468439,0.07900943396226415,0.6480172533099599,0.5915451435964255,0.48515430286422645
1294162,0,패브릭,패드/스프레드,19953,676,14947,14098,426026500,19246,19181,46,14098,763,0.0327694022977362,0.9976075310760909,0.054121151936444886,0.3558422096668067,0.9885872093170968,0.3489812076849741
871866,0,패브릭,패드/스프레드,12340,309,9601,8680,418843590,11981,11899,63,8680,789,0.02442880860147047,0.9947333221869252,0.09089861751152074,0.7875898730183769,0.96712525431489,0.5146810024507866
308919,0,패브릭,패드/스프레드,8401,290,6738,6452,154919400,8103,7973,117,6452,255,0.03336785180071338,0.9855377008652657,0.03952262864228146,0.18446339869974548,0.8984607909327321,0.3370920108924941
768770,0,패브릭,패드/스프레드,8006,261,6547,6269,244938800,7731,7665,54,6269,244,0.03157130760856417,0.9930042751651769,0.03892167809858032,0.1774085625663753,0.9542143174942073,0.3727833555098584
1418521,0,패브릭,패드/스프레드,8295,292,6487,5716,598887900,7980,7677,290,5716,623,0.03400489111447537,0.963599849378687,0.1089923023093072,1.0,0.7346490432115296,0.32443616319242263
1403437,0,패브릭,패드/스프레드,7378,253,6194,5881,343955000,7112,6947,134,5881,279,0.03315423928711833,0.9810761191922045,0.04744091140962421,0.27741977916534494,0.8651457923371689,0.34133577949591576
691317,0,패브릭,패드/스프레드,6075,189,4836,4611,146507400,5875,5761,106,4611,194,0.03017241379310345,0.9819328447247315,0.04207330297115593,0.2144069433198703,0.8715430325995751,0.40057471264367805
1840384,0,패브릭,패드/스프레드,5091,129,4088,3724,185652400,4934,4871,61,3724,297,0.02471264367816092,0.9876317923763179,0.07975295381310418,0.6567457764214938,0.9140975450844987,0.5090421455938697
270042,0,패브릭,패드/스프레드,5063,177,3730,3468,220809900,4875,4844,26,3468,226,0.03377862595419847,0.9946611909650924,0.0651672433679354,0.4855173814096327,0.9665866445280143,0.3289312977099237
281382,0,패브릭,패드/스프레드,4117,75,3401,3225,89528300,4033,4022,4,3225,158,0.0178912213740458,0.9990064580228515,0.048992248062015506,0.2956316370046057,0.9990331122909287,0.64456106870229
872947,0,패브릭,패드/스프레드,4076,79,3295,3075,100375400,3987,3956,18,3075,187,0.01901323706377858,0.9954705586311021,0.0608130081300813,0.4344010018486493,0.9726302596923887,0.6222703569995989
270850,0,패브릭,패드/스프레드,3482,82,3259,3081,97231400,3398,3319,79,3081,162,0.023007856341189674,0.9767510300176574,0.05258033106134372,0.3377538013965238,0.8328499944936076,0.5429105873550317
422044,0,패브릭,패드/스프레드,3590,106,3037,2893,117968000,3475,3469,3,2893,129,0.02867965367965368,0.9991359447004609,0.04459039059799516,0.24395619812429803,1.0,0.4302308802308802
