product_id,is_pb,cate_d1,cate_d3,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_norm,delivery_norm,score,rank,score2,rank2,score3,rank3
321701,0,가구,책상서랍장,343,18,338,327,28589100,325,303,22,327,7,0.04986149584487535,0.9323076923076923,0.021406727828746176,0.3127752516905925,0.9331541010962524,0.3127752516905925,16.0,0.49888890651229045,14.0,0.4368510215717245,16.0
2233640,0,가구,책상서랍장,343,17,331,318,23351100,321,308,13,318,12,0.04722222222222222,0.9595015576323987,0.03773584905660377,0.6984255295695467,0.9663322145036742,0.6984255295695467,7.0,0.7787975350497849,5.0,0.7520068665563722,6.0
558250,0,가구,책상서랍장,315,18,312,297,40491000,296,221,75,297,15,0.05405405405405406,0.7466216216216216,0.050505050505050504,1.0,0.7066061853130624,1.0,1.0,0.9119818555939186,1.0,0.9413212370626125,1.0
260098,0,가구,책상서랍장,288,28,288,278,23506000,259,240,19,278,9,0.08860759493670886,0.9266409266409267,0.03237410071942446,0.5717953388019866,0.9262403140453759,0.5717953388019866,11.0,0.6781288313750033,10.0,0.6426843338506645,11.0
974759,0,가구,책상서랍장,321,8,287,277,15899649,310,306,4,277,10,0.0243161094224924,0.9870967741935484,0.036101083032490974,0.6598167175784504,1.0,0.6598167175784504,10.0,0.7618717023049153,7.0,0.7278533740627604,8.0
558190,0,가구,책상서랍장,283,14,281,270,37388000,269,204,64,270,10,0.04713804713804714,0.7611940298507462,0.037037037037037035,0.6819214540733528,0.7243853795199957,0.6819214540733528,9.0,0.6946606317073456,9.0,0.6904142391626814,10.0
3306923,0,가구,책상서랍장,280,30,280,265,42167000,244,181,60,265,12,0.0967741935483871,0.7510373443983402,0.045283018867924525,0.8766695449284414,0.7119936265360136,0.8766695449284414,4.0,0.827266769410713,3.0,0.8437343612499559,3.0
746814,0,가구,책상서랍장,269,13,266,262,23264000,252,177,65,262,3,0.04609929078014184,0.731404958677686,0.011450381679389313,0.07763291882530454,0.6880409625023967,0.07763291882530454,21.0,0.26075533192843214,20.0,0.19971452756072297,19.0
392263,0,가구,책상서랍장,255,26,254,249,18974100,229,213,16,249,5,0.09252669039145907,0.9301310043668122,0.020080321285140562,0.281449067936791,0.9304984139222237,0.281449067936791,17.0,0.4761638717324208,16.0,0.4112589371338775,17.0
260099,0,가구,책상서랍장,250,11,250,245,21453000,238,221,16,245,2,0.0421455938697318,0.9324894514767933,0.00816326530612245,0.0,0.933375857961386,0.0,22.0,0.2800127573884158,19.0,0.1866751715922772,21.0
750930,0,가구,책상서랍장,229,15,228,224,13540000,212,35,174,224,4,0.06147540983606557,0.1674641148325359,0.017857142857142856,0.22894352482960076,0.0,0.22894352482960076,18.0,0.16026046738072053,22.0,0.18315481986368062,22.0
860366,0,가구,책상서랍장,219,19,219,208,26164000,200,150,50,208,9,0.07983193277310924,0.75,0.04326923076923077,0.8291092427533518,0.7107280054233203,0.8291092427533518,5.0,0.7935948715543424,4.0,0.8054329952873456,4.0
