product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,review_score,sales_score,spv_score,wish_score,card_score,days,cancel_rate,delivery_ontime,rebuy_rate
3640123,1,패브릭,이불/이불커버,50900.0,806,65,516,495,62250000,744.0,728.0,6.0,495,21,,,,,,,0.07462686567164178,0.9918256130790191,0.04242424242424243
967090,0,패브릭,이불/이불커버,39900.0,6371,399,3933,3775,329098600,5954.0,4369.0,1533.0,3775,146,,,,,,,0.058936484490398816,0.7402575398170111,0.03867549668874172
3392236,0,가구,입식화장대,139900.0,387,54,334,328,57536900,334.0,234.0,54.0,328,5,,,,,,,0.12244897959183673,0.8125,0.01524390243902439
397482,0,패브릭,매트/침대커버,27900.0,1926,42,1636,1585,72123700,1876.0,1865.0,1.0,1585,47,,,,,,,0.021341463414634148,0.9994640943193998,0.02965299684542587
551405,0,패브릭,매트/침대커버,12900.0,453,15,362,358,8535300,437.0,436.0,0.0,358,3,,,,,,,0.03205128205128205,1.0,0.008379888268156424
489844,0,패브릭,이불/이불커버,65900.0,476,20,302,290,45648300,457.0,454.0,0.0,290,11,,,,,,,0.04032258064516129,1.0,0.03793103448275862
239607,0,가구,입식화장대,145000.0,328,17,264,259,48418600,309.0,198.0,65.0,259,5,,,,,,,0.04927536231884058,0.752851711026616,0.019305019305019305
3938602,0,패브릭,이불/이불커버,54900.0,393,27,283,271,28081900,365.0,330.0,29.0,271,11,,,,,,,0.06428571428571428,0.9192200557103064,0.04059040590405904
3325720,0,패브릭,이불/이불커버,49900.0,1269,64,973,942,107258500,1202.0,1114.0,80.0,942,30,,,,,,,0.04801200300075019,0.932998324958124,0.03184713375796178
3289828,0,패브릭,러그/카페트,42900.0,292,17,292,285,20712600,277.0,260.0,17.0,285,7,,,,,,,0.05501618122977346,0.9386281588447654,0.02456140350877193
1271266,0,패브릭,러그/카페트,33600.0,275,21,273,269,14149800,254.0,252.0,0.0,269,4,,,,,,,0.07094594594594594,1.0,0.01486988847583643
2741760,0,가구,일반의자/인테리어의자,175800.0,530,58,474,450,116751600,442.0,199.0,234.0,450,21,,,,,,,0.09863945578231292,0.45958429561200925,0.04666666666666667
745800,0,패브릭,패드/스프레드,49900.0,427,8,358,347,26142300,417.0,415.0,0.0,347,10,,,,,,,0.01839080459770115,1.0,0.02881844380403458
1107038,0,패브릭,베개/베개솜,14900.0,223,4,202,192,5778700,219.0,218.0,0.0,192,8,,,,,,,0.01762114537444934,1.0,0.041666666666666664
3311397,0,가구,식탁/테이블,209000.0,789,212,674,631,177123400,582.0,215.0,259.0,631,40,,,,,,,0.21178821178821178,0.45358649789029537,0.06339144215530904
1443526,0,가구,일반소파,299000.0,1335,83,1151,1135,394618000,1253.0,1032.0,102.0,1135,16,,,,,,,0.05853314527503526,0.91005291005291,0.014096916299559472
3991899,0,생활용품,수건/타월,24400.0,270,4,204,196,10358000,266.0,257.0,0.0,196,7,,,,,,,0.014598540145985401,1.0,0.03571428571428571
3920046,1,생활용품,수건/타월,25900.0,3256,57,2485,2402,137878400,3194.0,3151.0,16.0,2402,79,,,,,,,0.017204950196196802,0.9949479002210294,0.03288925895087427
346437,0,생활용품,수건/타월,33900.0,296,16,249,241,10912800,280.0,272.0,8.0,241,7,,,,,,,0.05128205128205128,0.9714285714285714,0.029045643153526972
3185445,0,생활용품,수건/타월,41900.0,3934,116,2891,2773,166305900,3822.0,3776.0,12.0,2773,100,,,,,,,0.028641975308641977,0.996832101372756,0.03606202668589975
2986328,0,가구,일반침대,199000.0,769,31,406,393,179115000,744.0,395.0,310.0,393,12,,,,,,,0.03875,0.5602836879432624,0.030534351145038167
3767739,0,가구,수납침대,189000.0,2576,130,1659,1550,476417000,2442.0,1391.0,855.0,1550,97,,,,,,,0.04804138950480414,0.6193232413178985,0.06258064516129032
3768037,0,가구,사이드테이블,139000.0,243,9,243,241,33916000,229.0,213.0,0.0,241,2,,,,,,,0.03571428571428571,1.0,0.008298755186721992
363768,0,가구,책장/책꽂이,49900.0,223,18,201,194,10654800,207.0,84.0,105.0,194,4,,,,,,,0.07468879668049792,0.4444444444444444,0.020618556701030927
538806,0,가구,책장/책꽂이,56900.0,1119,23,1115,1099,78360100,1092.0,1091.0,0.0,1099,14,,,,,,,0.020140105078809107,1.0,0.012738853503184714
2072123,0,가구,일반침대,199000.0,974,141,546,525,241199000,848.0,475.0,293.0,525,21,,,,,,,0.12645739910313902,0.6184895833333334,0.04
2689542,0,가구,일반침대,128000.0,962,45,924,906,148834250,915.0,844.0,66.0,906,18,,,,,,,0.044687189672293945,0.9274725274725275,0.019867549668874173
3018283,0,패브릭,매트,29400.0,652,13,528,501,24195400,637.0,629.0,0.0,501,25,,,,,,,0.019548872180451128,1.0,0.0499001996007984
3399602,0,가구,책장/책꽂이,104900.0,375,42,350,336,56362600,335.0,282.0,41.0,336,13,,,,,,,0.10071942446043165,0.8730650154798761,0.03869047619047619
669428,0,가구,책장/책꽂이,59000.0,383,39,369,360,25650000,342.0,319.0,3.0,360,8,,,,,,,0.0924170616113744,0.9906832298136646,0.022222222222222223
65810,0,가구,책장/책꽂이,141000.0,409,32,409,391,57720000,376.0,343.0,2.0,391,17,,,,,,,0.07256235827664399,0.9942028985507246,0.043478260869565216
3311705,0,가구,책장/책꽂이,105000.0,260,9,257,253,31596100,249.0,248.0,0.0,253,4,,,,,,,0.03345724907063197,1.0,0.015810276679841896
3324737,0,패브릭,담요,16900.0,411,26,406,397,14876300,385.0,356.0,27.0,397,9,,,,,,,0.059496567505720827,0.9295039164490861,0.022670025188916875
3665055,0,패브릭,커튼,37800.0,626,34,408,385,28931300,592.0,586.0,2.0,385,21,,,,,,,0.051515151515151514,0.9965986394557823,0.05454545454545454
2840770,1,가구,서랍/수납장,169000.0,408,60,262,232,89089700,,,,232,23,,,,,,,0.1282051282051282,,0.09913793103448276
967068,0,패브릭,이불/이불커버,54900.0,839,59,527,500,66187200,783.0,766.0,17.0,500,25,,,,,,,0.06570155902004454,0.9782886334610472,0.05
505970,0,패브릭,이불/이불커버,49900.0,1307,27,917,885,83822000,1282.0,1258.0,12.0,885,29,,,,,,,0.020239880059970013,0.9905511811023622,0.0327683615819209
3472374,0,패브릭,실내화/거실화,12900.0,401,7,218,213,5430900,393.0,391.0,0.0,213,5,,,,,,,0.01715686274509804,1.0,0.023474178403755867
491746,0,가구,입식화장대,187900.0,444,60,444,433,105031000,380.0,52.0,251.0,433,11,,,,,,,0.11904761904761904,0.1716171617161716,0.025404157043879907
3438739,0,가구,입식화장대,109000.0,322,23,307,299,34934000,299.0,177.0,74.0,299,8,,,,,,,0.06666666666666667,0.7051792828685259,0.026755852842809364
3603175,0,가구,입식화장대,159000.0,450,12,273,268,55169500,435.0,323.0,61.0,268,4,,,,,,,0.025974025974025976,0.8411458333333334,0.014925373134328358
3640383,1,패브릭,매트/침대커버,29900.0,303,20,251,244,11424500,282.0,278.0,1.0,244,7,,,,,,,0.06191950464396285,0.996415770609319,0.028688524590163935
3640060,1,패브릭,매트/침대커버,15900.0,565,8,512,503,12317100,556.0,545.0,4.0,503,9,,,,,,,0.013961605584642234,0.9927140255009107,0.017892644135188866
485416,0,패브릭,이불/이불커버,69900.0,347,10,209,202,35722300,336.0,334.0,0.0,202,5,,,,,,,0.028011204481792718,1.0,0.024752475247524754
1331891,0,가구,입식화장대,249000.0,502,52,363,359,89445300,452.0,79.0,309.0,359,4,,,,,,,0.09386281588447654,0.2036082474226804,0.011142061281337047
516163,0,패브릭,이불/이불커버,44900.0,1029,32,722,701,63911100,996.0,988.0,3.0,701,16,,,,,,,0.030160226201696512,0.9969727547931383,0.02282453637660485
1640711,0,가구,입식화장대,189900.0,846,80,729,701,143628600,769.0,467.0,236.0,701,25,,,,,,,0.08639308855291576,0.6642958748221907,0.03566333808844508
904718,0,패브릭,매트/침대커버,13900.0,344,12,327,326,6741000,331.0,331.0,0.0,326,1,,,,,,,0.033707865168539325,1.0,0.003067484662576687
3459879,0,패브릭,실내화/거실화,9800.0,1919,24,1056,1039,21366000,1898.0,1890.0,3.0,1039,16,,,,,,,0.012352032938754504,0.9984152139461173,0.015399422521655439
3492280,0,패브릭,러그/카페트,42900.0,375,29,373,367,27706520,344.0,296.0,45.0,367,6,,,,,,,0.07178217821782178,0.8680351906158358,0.01634877384196185
1426209,0,패브릭,러그/카페트,39900.0,289,30,285,270,24881000,259.0,241.0,16.0,270,13,0.7451562358814682,0.6128750880541196,0.0154573743214094,0.9457896692199712,0.7646660469935399,89.0,0.09404388714733543,0.9377431906614786,0.04814814814814815
756902,0,패브릭,이불/이불커버,55800.0,1273,45,824,772,89442100,1225.0,1222.0,0.0,772,46,,,,,,,0.03414264036418816,1.0,0.05958549222797927
2609892,0,패브릭,이불/이불커버,24900.0,339,12,230,226,13908400,328.0,320.0,5.0,226,4,,,,,,,0.03418803418803419,0.9846153846153847,0.017699115044247787
1157221,0,패브릭,이불/이불커버,81800.0,682,20,358,339,64562200,658.0,654.0,0.0,339,13,,,,,,,0.02849002849002849,1.0,0.038348082595870206
289254,0,패브릭,매트/침대커버,14900.0,387,19,348,340,9094400,369.0,367.0,0.0,340,8,,,,,,,0.046798029556650245,1.0,0.023529411764705882
711414,0,패브릭,러그/카페트,32900.0,1061,64,1061,1047,48471400,1001.0,997.0,1.0,1047,12,,,,,,,0.05688888888888889,0.998997995991984,0.011461318051575931
1426213,0,패브릭,러그/카페트,39900.0,403,34,401,395,29044000,367.0,321.0,41.0,395,5,,,,,,,0.07780320366132723,0.8867403314917127,0.012658227848101266
3521298,0,생활용품,욕실잡화,10900.0,486,12,461,447,5785200,474.0,465.0,2.0,447,13,,,,,,,0.024096385542168676,0.9957173447537473,0.029082774049217
3304730,0,패브릭,베개/베개솜,9900.0,603,21,563,546,11166300,581.0,575.0,4.0,546,15,,,,,,,0.03365384615384615,0.9930915371329879,0.027472527472527472
2037337,0,생활용품,욕실잡화,10900.0,846,8,816,800,9537500,837.0,830.0,1.0,800,13,,,,,,,0.00936768149882904,0.9987966305655837,0.01625
918088,0,패브릭,베개/베개솜,12900.0,436,14,349,337,9754800,419.0,413.0,4.0,337,11,,,,,,,0.03111111111111111,0.9904076738609112,0.032640949554896145
2509651,0,패브릭,베개/베개솜,9900.0,304,4,242,225,3905100,300.0,300.0,0.0,225,11,,,,,,,0.012987012987012988,1.0,0.04888888888888889
592859,0,패브릭,베개/베개솜,16000.0,335,16,249,242,7365700,320.0,315.0,1.0,242,6,,,,,,,0.045584045584045586,0.9968354430379747,0.024793388429752067
761185,0,패브릭,베개/베개솜,11900.0,270,6,209,201,5361100,261.0,259.0,0.0,201,6,,,,,,,0.021739130434782608,1.0,0.029850746268656716
1095309,0,패브릭,베개/베개솜,9900.0,223,3,221,219,3065200,220.0,216.0,0.0,219,2,,,,,,,0.01327433628318584,1.0,0.0091324200913242
3640346,1,패브릭,패드/스프레드,34900.0,994,35,858,831,40951100,958.0,949.0,3.0,831,25,,,,,,,0.034013605442176874,0.9968487394957983,0.030084235860409144
968027,0,패브릭,패드/스프레드,28900.0,311,13,289,281,10429600,297.0,209.0,87.0,281,8,,,,,,,0.040123456790123455,0.706081081081081,0.028469750889679714
