product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
3482141,0,가구,독립스프링매트리스,299000.0,111,15,90,88,47562900,97,85,7,88,2,0.11904761904761904,0.9239130434782609,0.022727272727272728,0.11718428630193338,0.887573004542505,0.27859077467318916
2696824,0,가구,독립스프링매트리스,379000.0,132,16,85,78,46055500,116,42,62,78,5,0.10810810810810811,0.40384615384615385,0.0641025641025641,0.5076284951850563,0.11911595866819746,0.3554689338206459
2456112,0,가구,전신거울,54900.0,1518,98,1515,1484,130551700,1415,913,335,1484,29,0.06064356435643564,0.7315705128205128,0.01954177897574124,0.3595959740781098,0.4961015267746121,0.6900081271751153
1335073,0,가구,전신거울,49900.0,1806,52,1337,1321,114927700,1727,1684,24,1321,14,0.02798708288482239,0.9859484777517564,0.010598031794095382,0.14600533659757006,0.9809048985047166,1.0
1030260,0,가구,전신거울,129000.0,1129,98,1129,1106,146028000,0,0,0,1106,20,0.07986960065199673,,0.018083182640144666,0.32476241775999387,,0.5075048466719521
3575894,0,가구,전신거울,119900.0,1140,153,1051,1023,136324200,995,735,189,1023,28,0.11832946635730858,0.7954545454545454,0.02737047898338221,0.5465575452534959,0.6178541889168159,0.1424243094760933
325976,0,가구,전신거울,49800.0,927,48,925,915,48721800,882,683,121,915,9,0.04923076923076923,0.849502487562189,0.009836065573770493,0.12780839437274738,0.720860849009963,0.7983441626493397
22282,0,가구,전신거울,57900.0,913,66,911,890,54194400,834,770,14,890,19,0.06741573033707865,0.9821428571428571,0.021348314606741574,0.4027388636544745,0.9736519994447739,0.6257232954719407
1576400,0,가구,전신거울,149000.0,758,88,758,732,113836000,0,0,0,732,25,0.10401891252955082,,0.03415300546448088,0.7085348602875635,,0.2782673391694205
1030323,0,가구,전신거울,69000.0,649,39,648,637,49178000,0,0,0,637,10,0.056686046511627904,,0.015698587127158554,0.26781455626440426,,0.7275748922755212
2410584,0,가구,전신거울,95000.0,462,35,458,453,48555000,420,267,111,453,3,0.07042253521126761,0.7063492063492064,0.006622516556291391,0.05106382978723404,0.4480337846648244,0.59718117972138
1619024,0,가구,전신거울,69900.0,371,36,370,361,33372100,336,297,20,361,8,0.08845208845208845,0.9369085173501577,0.0221606648199446,0.42213905424254927,0.8874426437900363,0.42603552276576806
3964141,0,가구,전신거울,79900.0,343,40,342,331,34554900,0,0,0,331,11,0.10443864229765012,,0.03323262839879154,0.6865548199095798,,0.2742830514865433
2471373,0,가구,전신거울,56900.0,275,18,275,271,15647500,253,247,1,271,4,0.06143344709897611,0.9959677419354839,0.014760147601476014,0.24540315615922112,1.0,0.6825101598608774
